Variant,Top-1,Top-3,Invalid SQL rate,Unsafe operation rate,Duplicate operation rate,Avg tool calls,Avg SQL calls,Mean latency,P50 latency,P95 latency,Known avg cost,Errors,Timeouts,Abstentions
single_prompt,0.23333333333333334,0.38333333333333336,0.0,0.0,0.0,0.0,0.0,9232.143798332496,8948.79039999796,12423.222900004475,,4,0,4
react,0.35,0.4666666666666667,0.01744186046511628,0.005747126436781609,0.0,2.8833333333333333,2.85,30229.92790333131,25677.358999993885,73825.02269999532,,10,0,10
state_graph_no_validator,0.08333333333333333,0.2,0.014925373134328358,0.0,0.0,5.35,3.35,66656.22478833272,73437.94040000648,97057.30230000336,,42,0,0
full_harness,0.0,0.25,0.005,0.0,0.0030959752321981426,5.366666666666666,3.316666666666667,62252.43956333313,62457.439299992984,96517.50950000132,,36,0,60
