Variant,Top-1,Top-3,Invalid SQL rate,Unsafe operation rate,Duplicate operation rate,Avg tool calls,Avg SQL calls,Mean latency,P50 latency,P95 latency,Known avg cost,Errors,Timeouts,Abstentions
single_prompt,0.21666666666666667,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,10306.375844999791,9806.513200000154,13862.314399997558,,0,0,0
react,0.45,0.65,0.004291845493562232,0.004166666666666667,0.0,3.966666666666667,3.85,41349.108931666684,32424.77289999988,91974.45100000186,,3,0,4
state_graph_no_validator,0.0,0.08333333333333333,0.018018018018018018,0.0,0.0,4.666666666666667,1.85,51712.776903333564,48094.815300002665,62654.09509999881,,53,0,0
full_harness,0.0,0.08333333333333333,0.01680672268907563,0.0,0.0,4.833333333333333,1.9833333333333334,49234.50875000009,46996.49910000016,64090.74419999888,,53,0,60
